Company,ESG Risk Rating,Score
Definity Financial Corp.,Medium ESG Risk,21.9
"Dehua TB New Decoration Material Co., Ltd.",High ESG Risk,31.3
DekaBank Deutsche Girozentrale,Low ESG Risk,16.9
Delegat Group Ltd.,Medium ESG Risk,28.3
Delek Automotive Systems Ltd.,Low ESG Risk,16.0
Delek Group Ltd.,Severe ESG Risk,49.3
"Delek US Holdings, Inc.",High ESG Risk,39.5
Delhi International Airport Ltd.,Medium ESG Risk,21.3
Delhivery Ltd.,Medium ESG Risk,24.1
Deliveroo Plc,Medium ESG Risk,23.4
Delivery Hero SE,Medium ESG Risk,24.0
"Delixi New Energy Technology Co., Ltd.",Medium ESG Risk,26.1
"Dell Technologies, Inc.",Low ESG Risk,16.4
"Delta Air Lines, Inc.",High ESG Risk,30.7
Delta Corp. Ltd. (India),High ESG Risk,32.8
Delta Electronics (Thailand) Public Co. Ltd.,Low ESG Risk,17.3
"Delta Electronics, Inc.",Low ESG Risk,15.4
Delta Galil Industries Ltd.,Low ESG Risk,15.5
Deluxe Corp.,Low ESG Risk,10.0
"DEMAE-CAN CO., LTD.",High ESG Risk,30.3
Demant A/S,Medium ESG Risk,25.8
DEME Group NV,High ESG Risk,31.8
"DeNA Co., Ltd.",Medium ESG Risk,22.6
"Denali Therapeutics, Inc.",Medium ESG Risk,24.9
Denbury Inc.,High ESG Risk,33.2
Denison Mines Corp.,High ESG Risk,37.6
"Denka Co., Ltd.",High ESG Risk,33.0
Denny's Corp.,Medium ESG Risk,25.7
DENSO Corp.,Low ESG Risk,17.2
dentalcorp Holdings Ltd.,Medium ESG Risk,21.7
"Dentium Co., Ltd.",High ESG Risk,38.3
"Dentsply Sirona, Inc.",Low ESG Risk,14.9
"Dentsu Group, Inc.",Medium ESG Risk,20.2
"Dentsu Soken, Inc.",Low ESG Risk,19.3
"Denyo Co., Ltd.",Medium ESG Risk,24.6
"Depo Auto Parts Industrial Co., Ltd.",High ESG Risk,33.2
"Deppon Logistics Co., Ltd.",Medium ESG Risk,27.2
Derby Healthcare Plc,Medium ESG Risk,25.9
Derichebourg SA,Medium ESG Risk,26.4
Dermapharm Holding SE,Medium ESG Risk,24.5
Derwent London Plc,Low ESG Risk,13.4
Descente Ltd.,Low ESG Risk,18.1
"Design Therapeutics, Inc.",Medium ESG Risk,28.3
"Designer Brands, Inc.",Low ESG Risk,17.2
"Desktop Metal, Inc.",Medium ESG Risk,23.1
"Destination XL Group, Inc.",Low ESG Risk,17.0
Deterra Royalties Ltd.,Low ESG Risk,11.0
Detsky Mir PJSC,Low ESG Risk,18.7
DEUTSCHE APOTHEKER- UND ÄRZTEBANK eG,Low ESG Risk,19.6
Deutsche Bahn AG,Medium ESG Risk,22.1
Deutsche Bank AG,Medium ESG Risk,27.9
Deutsche Bank SAE,Low ESG Risk,15.7
Deutsche Beteiligungs AG,High ESG Risk,30.2
Deutsche Börse AG,Low ESG Risk,10.2
Deutsche EuroShop AG,Low ESG Risk,19.1
Deutsche Kreditbank AG,Low ESG Risk,18.1
Deutsche Lufthansa AG,Medium ESG Risk,28.3
Deutsche Pfandbriefbank AG,Medium ESG Risk,23.3
Deutsche Post AG,Low ESG Risk,14.3
Deutsche Telekom AG,Low ESG Risk,18.6
Deutsche Wohnen SE,Low ESG Risk,13.2
DEUTZ AG,Medium ESG Risk,25.5
Develia SA,Medium ESG Risk,25.6
"Development Bank of Japan, Inc.",Low ESG Risk,12.3
Development Bank of Kazakhstan JSC,Low ESG Risk,16.1
Devon Energy Corp.,High ESG Risk,32.6
Devro Ltd.,Medium ESG Risk,29.5
Devsisters Corp.,Low ESG Risk,19.3
Devyani International Ltd.,High ESG Risk,31.4
Dexco SA,Low ESG Risk,13.7
"DexCom, Inc.",Medium ESG Risk,23.3
Dexerials Corp.,Low ESG Risk,17.7
Dexia SA,High ESG Risk,39.0
"Dexin China Holdings Co., Ltd.",Medium ESG Risk,22.4
Dexus,Negligible ESG Risk,7.0
Dexus Finance Pty Ltd.,Negligible ESG Risk,5.4
Dexus Industria REIT,Negligible ESG Risk,5.3
Deyaar Development PJSC,Medium ESG Risk,25.8
DFDS A/S,Medium ESG Risk,21.8
DFI Retail Group Holdings Ltd.,Medium ESG Risk,22.9
DFS Furniture Plc,Low ESG Risk,11.4
"DGB Financial Group Co., Ltd.",Medium ESG Risk,24.4
Dhani Services Ltd.,High ESG Risk,37.0
"DHC Software Co., Ltd.",Medium ESG Risk,29.1
"DHI Group, Inc.",Medium ESG Risk,25.5
Dhipaya Group Holdings PCL,High ESG Risk,35.3
"DHT Holdings, Inc.",High ESG Risk,35.5
DI DONG-IL Corp.,Medium ESG Risk,25.9
Diageo Plc,Low ESG Risk,19.3
Diagnósticos da América SA,Low ESG Risk,19.0
Dialight Plc,Medium ESG Risk,20.7
Dialog Group Bhd.,Medium ESG Risk,24.2
"Diamond Hill Investment Group, Inc.",Medium ESG Risk,27.7
"Diamond Offshore Drilling, Inc.",Medium ESG Risk,26.0
"Diamondback Energy, Inc.",High ESG Risk,37.9
DiamondRock Hospitality Co.,Low ESG Risk,14.8
Dian Diagnostics Group Co. Ltd.,High ESG Risk,30.8
DiaSorin SpA,Low ESG Risk,18.9
DIC Corp.,Medium ESG Risk,27.0
"DiCE Therapeutics, Inc",Medium ESG Risk,27.1
"Dick's Sporting Goods, Inc.",Low ESG Risk,17.3
Dicker Data Ltd.,Low ESG Risk,12.8
"Diebold Nixdorf, Inc.",Low ESG Risk,18.5
Differ Group Auto Ltd.,Medium ESG Risk,26.1
"Digi International, Inc.",Low ESG Risk,17.7
Digicel Group Ltd.,Medium ESG Risk,29.6
Digimarc Corp.,Medium ESG Risk,20.6
Digital Arts Inc.,Medium ESG Risk,20.9
Digital Bros SpA,Low ESG Risk,15.9
"Digital China Group Co., Ltd.",Medium ESG Risk,26.8
Digital China Holdings Ltd.,Low ESG Risk,10.2
Digital China Information Service Group Co. Ltd.,Medium ESG Risk,24.5
Digital Core REIT,Low ESG Risk,12.1
"Digital Garage, Inc.",Medium ESG Risk,25.1
"Digital Holdings, Inc.",Low ESG Risk,19.0
"Digital Realty Trust, Inc.",Low ESG Risk,13.0
"Digital Turbine, Inc.",Medium ESG Risk,20.3
"DigitalBridge Group, Inc.",Low ESG Risk,19.0
"DigitalOcean Holdings, Inc.",Medium ESG Risk,26.1
Dilip Buildcon Ltd.,Severe ESG Risk,47.4
"Dillard's, Inc.",Low ESG Risk,18.5
"Dime Community Bancshares, Inc.",Medium ESG Risk,28.8
Dimerco Express Corp.,Medium ESG Risk,22.7
"Dine Brands Global, Inc.",Medium ESG Risk,29.4
Dingdong (Cayman) Ltd.,High ESG Risk,31.9
Dino Polska SA,Medium ESG Risk,28.2
DIO Corp.,High ESG Risk,36.5
"Diodes, Inc.",Medium ESG Risk,25.1
Diös Fastigheter AB,Low ESG Risk,13.9
dip Corp.,Negligible ESG Risk,8.1
Diploma Plc,Medium ESG Risk,21.6
Direcional Engenharia SA,Medium ESG Risk,20.8
Direct Line Insurance Group Plc,Medium ESG Risk,23.2
Direct Marketing MiX Inc.,Low ESG Risk,18.2
Dis-Chem Pharmacies Ltd.,Medium ESG Risk,24.0
"Disc Medicine, Inc.",High ESG Risk,30.1
DISCO Corp.,Low ESG Risk,20.0
Discover Bank,Medium ESG Risk,24.6
Discover Financial Services,Medium ESG Risk,22.8
discoverIE Group Plc,Low ESG Risk,11.5
Discovery Communications LLC,Low ESG Risk,14.2
Discovery Ltd.,Low ESG Risk,18.2
DISH Network Corp.,Medium ESG Risk,21.7
Distribuidora Internacional De Alimentacion SA,Medium ESG Risk,27.7
"Distribution Solutions Group, Inc.",Medium ESG Risk,24.6
"Ditto (Thailand) Public Co., Ltd.",Medium ESG Risk,27.5
Diversey Holdings Ltd. (Cayman Islands),Low ESG Risk,17.5
Diversified Energy Co. Plc,High ESG Risk,38.8
Diversified Healthcare Trust,Low ESG Risk,16.3
Divi's Laboratories Ltd.,High ESG Risk,32.2
Dixon Technologies (India) Ltd.,Low ESG Risk,16.2
DIXY Group PJSC,Medium ESG Risk,21.4
"DKK Co., Ltd.",Medium ESG Risk,21.2
"DKS Co., Ltd.",High ESG Risk,35.9
DKSH Holding AG,Low ESG Risk,14.8
DKV MOBILITY GROUP SE,Negligible ESG Risk,7.5
"Dl E&C Co., Ltd",Medium ESG Risk,27.9
"DL Holdings Co., Ltd.",High ESG Risk,32.3
DLF Ltd.,Low ESG Risk,17.8
DLocal Ltd.,Medium ESG Risk,22.2
"DMC Global, Inc.",High ESG Risk,31.0
"DMCI Holdings, Inc.",High ESG Risk,35.0
DMG MORI AG,Medium ESG Risk,23.9
"DMG MORI CO., LTD.",High ESG Risk,37.0
DN AUTOMOTIVE Corp.,Medium ESG Risk,23.4
"DNA Link, Inc.",High ESG Risk,31.9
DNB Bank ASA,Low ESG Risk,16.0
DNO ASA,Severe ESG Risk,46.3
DO & CO AG,Medium ESG Risk,21.8
"Do-Fluoride New Materials Co., Ltd.",High ESG Risk,31.8
"Docebo, Inc.",Medium ESG Risk,22.1
"DocGo, Inc.",Medium ESG Risk,24.1
DocMorris Ltd.,Medium ESG Risk,23.0
"DocuSign, Inc.",Low ESG Risk,17.7
Dogan Sirketler Grubu Holding AS,Medium ESG Risk,27.7
Dogus Otomotiv Servis ve Ticaret AS,Low ESG Risk,10.9
Doha Bank,Medium ESG Risk,28.3
"DoHome Public Co., Ltd.",Medium ESG Risk,25.9
"Dolby Laboratories, Inc.",Low ESG Risk,12.6
Dole Plc,Low ESG Risk,19.7
Dollar General Corp.,Medium ESG Risk,21.4
"Dollar Tree, Inc.",Medium ESG Risk,20.1
"Dollarama, Inc.",Medium ESG Risk,21.5
Dom Development SA,Medium ESG Risk,20.8
Domain Holdings Australia Ltd.,Medium ESG Risk,23.3
Dometic Group AB,Medium ESG Risk,20.8
"Dominion Energy South Carolina, Inc.",High ESG Risk,35.3
"Dominion Energy, Inc.",Medium ESG Risk,29.0
Domino's Pizza Enterprises Ltd.,Medium ESG Risk,27.1
Domino's Pizza Group Plc,Medium ESG Risk,24.4
"Domino's Pizza, Inc.",Medium ESG Risk,29.3
"Domo, Inc.",Medium ESG Risk,23.6
"Donaldson Co., Inc.",High ESG Risk,31.0
"Donegal Group, Inc.",High ESG Risk,32.1
"Dong-A Socio Holdings Co., Ltd.",Medium ESG Risk,28.4
"Dong-A ST Co., Ltd.",Medium ESG Risk,28.6
"Dong-E-E-Jiao Co., Ltd.",High ESG Risk,36.2
Dongfang Electric Corp. Ltd.,High ESG Risk,32.9
"Dongfeng Motor Group Co., Ltd.",Medium ESG Risk,26.6
"Dongguan Development (Holdings) Co., Ltd.",Low ESG Risk,15.2
Dongjiang Environmental Co. Ltd.,Medium ESG Risk,23.8
"Dongjin Semichem Co., Ltd.",High ESG Risk,38.6
"DongKook Pharmaceutical Co., Ltd.",High ESG Risk,36.0
"Dongkuk Holdings Co., Ltd.",High ESG Risk,36.4
"DONGSUH Cos., Inc.",Low ESG Risk,18.8
"Dongsung Pharmaceutical Co., Ltd.",Severe ESG Risk,41.1
"DONGWHA ENTERPRISE Co., Ltd.",High ESG Risk,30.9
"Dongwon F&B Co., Ltd.",High ESG Risk,32.8
"DONGWON INDUSTRIES Co., Ltd.",Severe ESG Risk,43.3
DONGWON SYSTEMS Corp.,Low ESG Risk,19.2
Dongxing Hong Kong,High ESG Risk,33.6
"Dongxing Securities Co., Ltd.",High ESG Risk,34.1
Dongyue Group Ltd.,High ESG Risk,37.1
"Donnelley Financial Solutions, Inc.",Low ESG Risk,19.6
"DoorDash, Inc.",Medium ESG Risk,22.0
"Doosan Bobcat, Inc.",Medium ESG Risk,27.1
Doosan Corp.,Medium ESG Risk,29.7
"Doosan Enerbility Co., Ltd.",High ESG Risk,34.3
"Doosan Fuel Cell Co., Ltd.",Medium ESG Risk,21.7
"DOOSAN TESNA, Inc.",High ESG Risk,37.3
Doral Group Renewable Energy Resources Ltd.,Medium ESG Risk,21.7
Dorian LPG Ltd.,High ESG Risk,34.7
dormakaba Holding AG,Low ESG Risk,19.3
"Dorman Products, Inc.",Low ESG Risk,17.7
Doro AB,Low ESG Risk,13.8
"Doshisha Co., Ltd.",Low ESG Risk,14.7
Dottikon ES Holding AG,High ESG Risk,30.5
"Double Medical Technology, Inc.",High ESG Risk,30.9
"DoubleUGames Co., Ltd.",Medium ESG Risk,24.7
"DoubleVerify Holdings, Inc.",Medium ESG Risk,20.8
"Douglas Dynamics, Inc.",Medium ESG Risk,27.8
"Douglas Elliman, Inc.",Medium ESG Risk,23.1
"Douglas Emmett, Inc.",Medium ESG Risk,20.3
"Doutor Nichires Holdings Co., Ltd.",High ESG Risk,33.4
DouYu International Holdings Ltd.,Medium ESG Risk,28.6
"DOUZONE BIZON Co., Ltd.",Medium ESG Risk,26.4
doValue SpA,Low ESG Risk,18.7
Dover Corp.,Medium ESG Risk,25.9
"Dow, Inc.",Medium ESG Risk,21.3
"DOWA HOLDINGS Co., Ltd.",Severe ESG Risk,45.1
Downer EDI Ltd.,High ESG Risk,36.4
Downer Group Finance Pty Ltd.,Medium ESG Risk,27.3
Downing Renewables & Infrastructure Trust Plc,High ESG Risk,30.5
"Doximity, Inc.",Medium ESG Risk,21.7
DP World Ltd.,Negligible ESG Risk,8.8
DR Corp. Ltd.,Medium ESG Risk,20.9
Dr. Lal PathLabs Ltd.,Low ESG Risk,19.3
Dr. Martens Plc,Low ESG Risk,17.4
Dr. Reddy's Laboratories Ltd.,Medium ESG Risk,26.3
Dr. Sulaiman Al-Habib Medical Services Group Co.,High ESG Risk,30.9
Drägerwerk AG & Co. KGaA,Medium ESG Risk,25.0
Drax Group Plc,Medium ESG Risk,23.5
DRB-HICOM Bhd.,Medium ESG Risk,26.6
DRDGOLD Ltd.,High ESG Risk,35.1
"Dream Finders Homes, Inc.",Medium ESG Risk,21.9
Dream Industrial Real Estate Investment Trust,Low ESG Risk,10.6
Dream Office Real Estate Investment Trust,Negligible ESG Risk,5.9
Dream Summit Industrial LP,Low ESG Risk,16.1
DREAM Unlimited Corp.,Low ESG Risk,13.0
"Dreamtech Co., Ltd.",Medium ESG Risk,21.8
"Dril-Quip, Inc.",Low ESG Risk,19.7
"Driven Brands Holdings, Inc.",Low ESG Risk,18.5
"Dropbox, Inc.",Low ESG Risk,18.8
Drumaville Ltd.,High ESG Risk,36.0
DS Smith Plc,Low ESG Risk,14.0
DSV A/S,Low ESG Risk,13.0
DT Auto Owner Trust 2023-2,High ESG Risk,31.3
"DT Midstream, Inc.",Medium ESG Risk,29.8
DTE Electric Co.,Medium ESG Risk,28.6
DTE Energy Co.,High ESG Risk,31.5
DTEK Group BV,Severe ESG Risk,50.1
DTS Corp.,Medium ESG Risk,20.0
Dubai Aerospace Enterprise (DAE) Ltd.,Low ESG Risk,12.5
Dubai Electricity & Water Authority,Medium ESG Risk,24.3
Dubai Financial Market PJSC,Medium ESG Risk,25.3
Dubai Investments PJSC,High ESG Risk,31.7
Dubai Islamic Bank PJSC,High ESG Risk,30.9
"Ducommun, Inc.",High ESG Risk,34.0
Dufry AG,Low ESG Risk,14.3
"Duk San Neolux Co., Ltd.",Medium ESG Risk,24.2
Duke Energy Carolinas LLC,High ESG Risk,30.6
Duke Energy Corp.,Medium ESG Risk,28.3
Duke Energy Florida LLC,High ESG Risk,36.7
Duke Energy Indiana LLC,Medium ESG Risk,23.0
Duke Energy Progress LLC,Medium ESG Risk,29.8
Duke University,Low ESG Risk,14.0
"Duke University Health System, Inc.",Medium ESG Risk,29.2
"Duluth Holdings, Inc.",Medium ESG Risk,25.8
"Dun & Bradstreet Holdings, Inc.",Medium ESG Risk,20.3
"Dundee Precious Metals, Inc.",High ESG Risk,31.5
Dunelm Group Plc,Low ESG Risk,12.4
Duni AB,Low ESG Risk,12.9
Duniec Bros. Ltd.,Medium ESG Risk,24.6
"Duolingo, Inc.",Medium ESG Risk,27.0
"DuPont de Nemours, Inc.",Medium ESG Risk,28.0
Dur Hospitality Co.,High ESG Risk,34.8
Duroc AB,High ESG Risk,30.7
Dürr AG,Medium ESG Risk,23.2
"Duskin Co., Ltd.",Low ESG Risk,16.6
Dustin Group AB,Low ESG Risk,15.2
"Dutch Bros, Inc.",High ESG Risk,38.9
Dwarikesh Sugar Industries Ltd.,Severe ESG Risk,45.5
DWF Group Plc,Low ESG Risk,19.0
DWS Group GmbH & Co. KGaA,Low ESG Risk,18.8
DXC Technology Co.,Low ESG Risk,17.0
"DXP Enterprises, Inc.",Medium ESG Risk,25.1
Dyaco International Inc.,Low ESG Risk,10.6
"Dycom Industries, Inc.",High ESG Risk,35.0
"DyDo Group Holdings, Inc.",Severe ESG Risk,46.0
Dye & Durham Ltd.,Medium ESG Risk,28.1
Dynagreen Environmental Protection Group Co. Ltd.,Medium ESG Risk,23.6
"Dynamic Holding Co., Ltd.",Medium ESG Risk,20.9
Dynapack International Technology Corp.,Medium ESG Risk,25.0
Dynasty Ceramic Public Co. Ltd.,Medium ESG Risk,25.8
"Dynatrace, Inc.",Low ESG Risk,16.8
Dynavax Technologies Corp.,Medium ESG Risk,27.7
"Dyne Therapeutics, Inc.",Medium ESG Risk,26.0
"Dynex Capital, Inc.",Low ESG Risk,15.8
DZ BANK AG Deutsche Zentral-Genossenschaftsbank,Low ESG Risk,17.6
DZ HYP AG,Low ESG Risk,14.2
"DZS, Inc.",Medium ESG Risk,25.0
"E Ink Holdings, Inc.",Low ESG Risk,18.5
E-Commodities Holdings Ltd.,Severe ESG Risk,43.4
"e-Credible Co., Ltd.",Medium ESG Risk,23.2
e-Finance for Digital & Financial Investments SAE,Medium ESG Risk,29.0
E-L Financial Corp. Ltd.,High ESG Risk,31.5
"E-Mart, Inc.",Medium ESG Risk,22.9
E.I.D.-Parry (India) Ltd.,Severe ESG Risk,41.3
"e.l.f. Beauty, Inc.",Medium ESG Risk,22.9
E.ON SE,Low ESG Risk,17.6
"E.SUN Financial Holding Co., Ltd.",Low ESG Risk,12.1
E1 Corp.,High ESG Risk,36.4
"E2open Parent Holdings, Inc.",Low ESG Risk,14.1
Eagers Automotive Ltd.,Low ESG Risk,14.2
"Eagle Bancorp, Inc. (Maryland)",Medium ESG Risk,28.5
"Eagle Bulk Shipping, Inc.",Medium ESG Risk,24.1
"Eagle Industry Co., Ltd.",Medium ESG Risk,21.1
"Eagle Materials, Inc.",High ESG Risk,36.7
Eagle Parent Holdings LP,High ESG Risk,36.4
"Eagle Pharmaceuticals, Inc.",Medium ESG Risk,23.6
Earth Corp.,Medium ESG Risk,29.0
EARTH INFINITY CO. LTD.,Medium ESG Risk,23.4
East Buy Holding Ltd.,Low ESG Risk,17.1
"East Group Co., Ltd.",Medium ESG Risk,28.4
East Japan Railway Co.,High ESG Risk,30.4
"East Money Information Co., Ltd.",Medium ESG Risk,27.2
East Nippon Expressway Co. Ltd.,Low ESG Risk,10.6
"East West Bancorp, Inc.",Medium ESG Risk,27.3
"Easterly Government Properties, Inc.",Low ESG Risk,18.0
Eastern & Southern African Trade & Development Bank,High ESG Risk,30.6
"Eastern Air Logistics Co., Ltd.",Medium ESG Risk,24.4
"Eastern Bankshares, Inc.",Medium ESG Risk,26.3
Eastern Co. (Egypt),High ESG Risk,34.7
"Eastern Communications Co., Ltd.",Medium ESG Risk,24.1
Eastern Energy Gas Holdings LLC,Medium ESG Risk,28.3
"Eastern Polymer Group Public Co., Ltd.",Low ESG Risk,17.9
Eastern Province Cement Co.,Severe ESG Risk,41.8
"EastGroup Properties, Inc.",Low ESG Risk,13.8
Eastman Chemical Co.,Medium ESG Risk,24.7
Eastman Kodak Co.,Medium ESG Risk,23.8
Eastnine AB,Low ESG Risk,10.0
"Eastroc Beverage (Group) Co., Ltd.",High ESG Risk,35.9
Easy Trip Planners Ltd.,Low ESG Risk,18.9
"Easyhome New Retail Group Co., Ltd.",Medium ESG Risk,21.5
easyJet Plc,Medium ESG Risk,25.4
Eaton Corp.,Medium ESG Risk,22.3
Eaton Corp. Plc,Low ESG Risk,18.3
Ebara Corp.,Medium ESG Risk,26.4
"eBASE Co., Ltd.",Medium ESG Risk,25.3
"eBay, Inc.",Low ESG Risk,17.5
"Ebix, Inc.",Medium ESG Risk,27.8
EBOS Group Ltd.,Low ESG Risk,16.4
Ebro Foods SA,Medium ESG Risk,28.3
Ebusco Holding NV,Medium ESG Risk,29.5
EC Healthcare,Low ESG Risk,14.8
"ECHO MARKETING, Inc.",Low ESG Risk,19.6
EchoStar Corp.,Medium ESG Risk,27.5
Eckert & Ziegler Strahlen- und Medizintechnik AG,Low ESG Risk,19.9
"Eclat Textile Co., Ltd.",Low ESG Risk,15.6
eClerx Services Ltd.,Low ESG Risk,18.0
ECN Capital Corp.,Medium ESG Risk,27.0
Eco World Development Group Bhd.,Low ESG Risk,10.4
"Ecobank Transnational, Inc.",Medium ESG Risk,24.7
"Ecolab, Inc.",Medium ESG Risk,24.7
Econocom Group SE,Low ESG Risk,17.2
Ecopetrol SA,High ESG Risk,30.2
"Ecopro BM Co., Ltd.",High ESG Risk,32.8
"ECOPRO Co., Ltd.",High ESG Risk,38.2
"Ecopro HN Co., Ltd.",High ESG Risk,34.6
Ecora Resources Plc,Low ESG Risk,12.3
EcoRodovias Infraestrutura e Logística SA,Low ESG Risk,12.4
"Ecovacs Robotics Co., Ltd.",High ESG Risk,30.5
ECOVE Environment Corp.,Low ESG Risk,10.6
"Ecovyst, Inc.",High ESG Risk,31.5
"Edan Instruments, Inc.",High ESG Risk,34.7
Edelweiss Financial Services Ltd.,High ESG Risk,31.2
Edenred SE,Low ESG Risk,16.9
Edgewell Personal Care Co.,Medium ESG Risk,24.9
"Edgewise Therapeutics, Inc.",Medium ESG Risk,28.5
Edifier Technology Co. Ltd.,Medium ESG Risk,23.6
EdiliziAcrobatica SpA,Low ESG Risk,11.8
EDION Corp.,Low ESG Risk,19.3
Edison International,Medium ESG Risk,24.7
Edison SpA,Medium ESG Risk,24.9
Ediston Property Investment Co. Plc,Low ESG Risk,19.8
"Editas Medicine, Inc.",Medium ESG Risk,25.2
Edmonton Regional Airports Authority,Medium ESG Risk,21.0
EDP Corp.,Medium ESG Risk,27.2
EDP Energias do Brasil SA,Medium ESG Risk,27.5
EDP Renováveis SA,Low ESG Risk,16.2
EDP-Energias de Portugal SA,Low ESG Risk,19.6
eDreams ODIGEO SA,Low ESG Risk,14.5
Edwards Lifesciences Corp.,Medium ESG Risk,23.9
EEKA Fashion Holdings Ltd.,Low ESG Risk,17.5
EEW Energy from Waste GmbH,Medium ESG Risk,20.8
EFG Holding SAE,High ESG Risk,30.8
EFG International AG,Medium ESG Risk,24.0
eGain Corp.,Medium ESG Risk,24.8
Ege Endüstri ve Ticaret AS,Low ESG Risk,16.6
Egetis Therapeutics AB,Medium ESG Risk,26.5
"Egis Technology, Inc.",Low ESG Risk,16.5
"eGuarantee, Inc.",Medium ESG Risk,26.5
Egypt Kuwait Holding Co. SAE,High ESG Risk,38.4
EHang Holdings Ltd.,Low ESG Risk,19.4
"eHealth, Inc.",Low ESG Risk,18.6
eHi Car Services Ltd.,Medium ESG Risk,21.3
Eicher Motors Ltd.,Low ESG Risk,13.0
Eiffage SA,High ESG Risk,36.2
EIH Ltd.,High ESG Risk,32.8
Eika Boligkreditt AS,Medium ESG Risk,25.3
"Eiken Chemical Co., Ltd.",Low ESG Risk,18.2
Eimskipafelag Islands hf,Medium ESG Risk,23.9
Einhell Germany AG,High ESG Risk,30.7
"EirGenix, Inc.",Medium ESG Risk,27.1
"EIS Eczacibasi Ilaç, Sinai ve Finansal Yatirim San ve Tic AS",Medium ESG Risk,29.7
"Eisai Co., Ltd.",Medium ESG Risk,26.6
EIZO Corp.,Low ESG Risk,15.7
El Corte Inglés SA,Low ESG Risk,12.1
"El Pollo Loco Holdings, Inc.",High ESG Risk,30.2
El Puerto de Liverpool SAB de CV,Low ESG Risk,18.7
El.En. SpA,Medium ESG Risk,20.7
EL5-Energo PJSC,High ESG Risk,32.9
Elan Corp.,Medium ESG Risk,27.1
ELAN Microelectronics Corp.,Medium ESG Risk,22.6
"Elanco Animal Health, Inc.",Medium ESG Risk,20.2
Elanders AB,Negligible ESG Risk,9.4
Elastic NV,Low ESG Risk,17.4
Elbit Systems Ltd.,High ESG Risk,36.7
Elco Ltd.,High ESG Risk,30.4
Elders Ltd.,Negligible ESG Risk,7.0
Eldorado Gold Corp.,Medium ESG Risk,21.5
Elecnor SA,Medium ESG Risk,29.3
"Elecom Co., Ltd.",Low ESG Risk,17.5
Elecon Engineering Co. Ltd.,Medium ESG Risk,25.2
Electra Consumer Products Ltd.,Medium ESG Risk,25.8
Electra Ltd.,Severe ESG Risk,46.9
Electra Real Estate Ltd.,Medium ESG Risk,21.2
"Electric Connector Technology Co., Ltd.",Medium ESG Risk,27.1
"Electric Power Development Co., Ltd.",Severe ESG Risk,41.5
Électricité de France SA,Medium ESG Risk,24.6
"Electricity Generating Public Co., Ltd.",Medium ESG Risk,27.2
Electricity Supply Board Ltd.,Medium ESG Risk,27.7
Electrolux AB,Medium ESG Risk,21.0
Electrolux Professional AB,Low ESG Risk,10.8
"Electronic Arts, Inc.",Low ESG Risk,13.4
Elekta AB,Low ESG Risk,17.7
Elematec Corp.,Low ESG Risk,13.5
Element Fleet Management Corp.,Medium ESG Risk,20.1
Element Materials Technology Ltd.,Negligible ESG Risk,9.1
"Element Solutions, Inc.",Medium ESG Risk,25.8
Elementis Plc,Medium ESG Risk,24.1
"Elevance Health, Inc.",Low ESG Risk,10.6
ELGI Equipments Ltd.,Medium ESG Risk,21.3
Eli Lilly & Co.,Medium ESG Risk,24.2
Elia Group SA/NV,Low ESG Risk,14.8
Elia Transmission Belgium NV,Negligible ESG Risk,8.7
Elior Group SA,Medium ESG Risk,28.4
Elis SA,Low ESG Risk,17.0
Elisa Oyj,Low ESG Risk,16.4
Elite Advanced Laser Corp.,Medium ESG Risk,23.5
"Elite Material Co., Ltd.",Medium ESG Risk,20.2
"Elite Semiconductor Microelectronics Tech, Inc.",High ESG Risk,32.3
"Elitegroup Computer Systems Co., Ltd.",Low ESG Risk,19.5
Elkem ASA,Medium ESG Risk,24.0
Ellaktor SA,Medium ESG Risk,29.3
"Ellington Financial, Inc.",Low ESG Risk,17.0
EllisDon Infrastructure SNH GP,Severe ESG Risk,40.2
Elm Co. (Saudi Arabia),Medium ESG Risk,28.3
Elme Communities,Low ESG Risk,11.9
Elmera Group ASA,Low ESG Risk,14.9
Elmos Semiconductor SE,High ESG Risk,30.4
Elo SA,Medium ESG Risk,29.1
Elon AB,Medium ESG Risk,22.8
Elopak ASA,Medium ESG Risk,20.4
Elos Medtech AB,Medium ESG Risk,27.5
ElringKlinger AG,Negligible ESG Risk,8.6
Elsewedy Electric Co.,Medium ESG Risk,20.2
Eltel AB,High ESG Risk,33.0
"EM Systems Co., Ltd.",Medium ESG Risk,21.3
"EM-Tech. Co., Ltd.",Medium ESG Risk,28.7
Emaar Development PJSC,Medium ESG Risk,20.4
Emaar Properties PJSC,Medium ESG Risk,26.4
"Emaar, The Economic City",Medium ESG Risk,25.6
Emami Ltd.,Medium ESG Risk,24.5
Embassy Office Parks REIT,Low ESG Risk,10.9
Embecta Corp.,Medium ESG Risk,26.7
Embotelladora Andina SA,Medium ESG Risk,23.4
Embracer Group AB,Low ESG Risk,15.5
Embraer SA,High ESG Risk,37.3
EMC Corp.,Low ESG Risk,10.4
"EMCOR Group, Inc.",High ESG Risk,35.0
Emeco Holdings Ltd.,Medium ESG Risk,20.9
"eMemory Technology, Inc.",Low ESG Risk,18.2
"Emera, Inc.",High ESG Risk,31.2
"Emerald Expositions Events, Inc.",Low ESG Risk,18.1
"Emergent BioSolutions, Inc.",Medium ESG Risk,22.0
Emerson Electric Co.,Medium ESG Risk,28.2
