,Company Name,Date,Environment,Social,Governance,ESG_ratings,Final_ESG_Score,Historical_esg_score
183,Fiat Chrysler Automobiles N.V.,2020-11-11,46.57909090909091,-1.0,-1.0,-1.0,46.57909090909091,46.57909090909091
182,DWS Group GmbH & Co. KGaA,2020-11-13,-1.0,-1.0,45.0,18.8,63.8,63.8
181,Standard & Poor's Financial Services LLC,2020-11-17,50.0,-1.0,-1.0,-1.0,50.0,50.0
180,Topshop,2020-11-18,67.5575,-1.0,-1.0,-1.0,67.5575,67.5575
177,"Goldman Sachs Group, Inc.",2020-11-19,73.97,-1.0,-1.0,-1.0,73.97,73.97
179,Partnership for Carbon Accounting Financials,2020-11-19,53.2,-1.0,-1.0,-1.0,53.2,53.2
178,United Kingdom,2020-11-19,45.0,-1.0,-1.0,-1.0,45.0,45.0
176,Diageo plc,2020-11-23,-1.0,71.89681818181819,-1.0,-1.0,71.89681818181819,71.89681818181819
175,Engie,2020-12-01,47.5,-1.0,-1.0,-1.0,47.5,47.5
174,Amundi,2020-12-01,43.71,-1.0,-1.0,-1.0,43.71,43.71
173,Robeco,2020-12-04,54.4475,-1.0,-1.0,-1.0,54.4475,54.4475
172,United Kingdom,2020-12-07,58.30727272727273,-1.0,-1.0,-1.0,58.30727272727273,51.653636363636366
171,Deutsche Bank AG,2020-12-08,-1.0,-1.0,59.544999999999995,27.9,87.445,81.76679292929292
170,Fidelity Investments,2020-12-08,52.08333333333333,-1.0,-1.0,-1.0,52.08333333333333,52.08333333333333
169,TotalEnergies SE,2020-12-08,63.975,-1.0,-1.0,27.1,91.075,85.37125
168,Rathbone Brothers Plc,2020-12-09,53.2,-1.0,-1.0,-1.0,53.2,53.2
167,Morgan Stanley Investment Management,2020-12-14,62.045,-1.0,-1.0,-1.0,62.045,62.045
166,Volkswagen AG,2020-12-18,78.9925,-1.0,-1.0,26.4,105.39250000000001,105.39250000000001
165,Fiat Chrysler Automobiles N.V.,2020-12-22,70.395,-1.0,-1.0,-1.0,70.395,58.48704545454545
164,"PepsiCo, Inc.",2021-01-14,50.0,-1.0,-1.0,22.1,72.1,76.81875
163,ESMA,2021-02-01,-1.0,-1.0,61.53,-1.0,61.53,61.53
162,U.S. Securities and Exchange Commission,2021-02-02,54.9,-1.0,-1.0,-1.0,54.9,50.644444444444446
161,Bank of America Corporation,2021-02-12,50.0,-1.0,-1.0,-1.0,50.0,50.0
160,"Goldman Sachs Group, Inc.",2021-02-15,62.5,-1.0,-1.0,-1.0,62.5,68.235
159,Swiss Market Index,2021-02-18,50.0,-1.0,-1.0,-1.0,50.0,50.0
158,Amundi,2021-02-22,50.0,-1.0,-1.0,-1.0,50.0,46.855000000000004
157,ING Group N.V.,2021-02-25,50.0,-1.0,-1.0,-1.0,50.0,50.0
156,Aviva plc,2021-03-01,50.0,-1.0,-1.0,-1.0,50.0,50.0
155,25%,2021-03-02,50.0,-1.0,-1.0,-1.0,50.0,50.0
154,Toyota Motor Corporation,2021-03-04,50.0,-1.0,-1.0,-1.0,50.0,50.0
153,U.S. Securities and Exchange Commission,2021-03-08,54.9,-1.0,-1.0,-1.0,54.9,52.06296296296296
152,Cowen Inc.,2021-03-10,-1.0,-1.0,50.0,-1.0,50.0,50.0
151,BNP Paribas S.A.,2021-03-17,50.0,-1.0,-1.0,-1.0,50.0,50.0
150,Study Group,2021-03-17,-1.0,-1.0,45.34916666666667,-1.0,45.34916666666667,45.34916666666667
149,VÃ¤rde,2021-03-19,52.08333333333333,-1.0,-1.0,-1.0,52.08333333333333,52.08333333333333
148,MSCI Inc.,2021-04-06,53.40909090909091,-1.0,-1.0,-1.0,53.40909090909091,53.40909090909091
147,Fitch Ratings Inc.,2021-04-13,44.3425,-1.0,-1.0,-1.0,44.3425,44.3425
146,Bank of America Corporation,2021-04-14,50.0,-1.0,-1.0,-1.0,50.0,50.0
145,Sustainable Development,2021-04-15,53.784166666666664,-1.0,-1.0,-1.0,53.784166666666664,53.784166666666664
144,Citigroup Inc.,2021-04-16,57.4,-1.0,-1.0,-1.0,57.4,57.74939393939394
143,BHP Group,2021-04-21,-1.0,72.1740909090909,-1.0,-1.0,72.1740909090909,72.1740909090909
142,OnlyFans,2021-04-22,50.0,-1.0,-1.0,-1.0,50.0,50.0
141,Natixis S.A.,2021-04-23,-1.0,70.69454545454545,-1.0,-1.0,70.69454545454545,70.69454545454545
140,Eurasian Natural Resources Corporation,2021-04-29,50.0,-1.0,-1.0,-1.0,50.0,50.0
139,UBS Group AG,2021-05-07,50.0,-1.0,-1.0,27.5,77.5,81.61583333333333
138,"Environmental, Social, and Governance",2021-05-11,-1.0,65.6575,-1.0,-1.0,65.6575,65.6575
137,JPMorgan Chase & Co.,2021-05-16,62.3475,-1.0,-1.0,30.1,92.44749999999999,92.44749999999999
135,Deutsche Bank AG,2021-05-20,50.0,-1.0,-1.0,27.9,77.9,80.8000946969697
136,Britainâs,2021-05-20,56.25,-1.0,-1.0,-1.0,56.25,56.25
134,Special Purpose Acquisition Companies,2021-05-21,67.63678571428571,-1.0,-1.0,-1.0,67.63678571428571,67.63678571428571
133,Royal Dutch Shell plc,2021-05-27,37.235,-1.0,-1.0,-1.0,37.235,37.235
132,ING Group N.V.,2021-05-28,49.6875,-1.0,-1.0,-1.0,49.6875,49.84375
131,Legal & General Investment Management Limited,2021-06-21,54.60625,-1.0,-1.0,-1.0,54.60625,54.60625
130,Fiat Chrysler Automobiles N.V.,2021-06-23,53.40909090909091,-1.0,-1.0,-1.0,53.40909090909091,56.794393939393935
129,The Dow Chemical Company,2021-06-25,53.541666666666664,-1.0,-1.0,-1.0,53.541666666666664,53.541666666666664
128,ING Group N.V.,2021-09-17,56.25,-1.0,-1.0,-1.0,56.25,51.979166666666664
127,Fewer & Partners (a law firm),2021-10-20,48.790000000000006,-1.0,-1.0,-1.0,48.790000000000006,48.790000000000006
126,Institutional Shareholder Services Inc.,2021-10-21,-1.0,62.3475,-1.0,-1.0,62.3475,62.3475
125,81%,2021-11-01,42.045,-1.0,-1.0,-1.0,42.045,42.045
124,Morgan Stanley,2021-11-08,50.644999999999996,-1.0,-1.0,24.6,75.245,74.9225
123,COP26:,2021-11-10,63.03750000000001,-1.0,-1.0,-1.0,63.03750000000001,63.03750000000001
122,92%,2021-11-17,50.0,-1.0,-1.0,-1.0,50.0,50.0
121,A.P. Møller - Mærsk A/S (Maersk Group),2021-11-22,54.544999999999995,-1.0,-1.0,-1.0,54.544999999999995,54.544999999999995
120,"Environmental, Social, and Governance",2021-11-23,-1.0,-1.0,50.84159090909091,-1.0,50.84159090909091,58.249545454545455
119,VTB Bank (Public Joint-Stock Company),2021-11-30,50.0,-1.0,-1.0,-1.0,50.0,50.0
118,Coutts & Co. (private bank),2021-12-08,55.8375,-1.0,-1.0,-1.0,55.8375,55.8375
117,"Environmental, Social, and Governance",2021-12-09,-1.0,71.53,-1.0,-1.0,71.53,62.67636363636364
116,The Bank of New York Mellon Corporation (BNY Mellon),2021-12-16,57.204166666666666,-1.0,-1.0,-1.0,57.204166666666666,57.204166666666666
115,Fiat Chrysler Automobiles N.V.,2021-12-21,-1.0,-1.0,67.01454545454546,-1.0,67.01454545454546,59.34943181818181
114,Nestlé S.A.,2021-12-21,59.03,-1.0,-1.0,-1.0,59.03,59.03
113,"J.C. Penney Company, Inc. (if referring to ""J. C. Penney"")",2021-12-23,52.5,-1.0,-1.0,-1.0,52.5,52.5
112,Not identified (please provide additional context),2022-01-18,46.1725,-1.0,-1.0,-1.0,46.1725,46.1725
111,HSBC Holdings plc,2022-01-19,59.544999999999995,-1.0,-1.0,-1.0,59.544999999999995,59.62386363636363
110,Exxon Mobil Corporation,2022-01-19,54.4475,-1.0,-1.0,-1.0,54.4475,54.4475
107,Aviva plc,2022-01-24,60.5375,-1.0,-1.0,-1.0,60.5375,55.26875
108,New York State Teachers' Retirement System,2022-01-24,-1.0,-1.0,46.0090909090909,-1.0,46.0090909090909,46.0090909090909
109,"CaixaBank, S.A.",2022-01-24,65.7565909090909,-1.0,-1.0,-1.0,65.7565909090909,70.19204545454545
106,Trafigura Group Pte. Ltd.,2022-02-03,-1.0,53.125,-1.0,-1.0,53.125,53.125
