Heading,Text,Datetime
Total Produce launches sustainability site,Irish and UK listed fresh produce producer Total Produce has launched its first sustainability website.,2020-12-08 11:10:38+00:00
Fidelity publishes TCFD disclosures report,Fidelity International has published its first Task Force on Climate-related Financial Disclosures annual report.,2020-12-08 10:16:44+00:00
Deutsche Bank to link pay to sustainability,Deutsche Bank has announced annual growth targets for ESG business and plans to link them to management compensation from 2021.,2020-12-08 09:54:58+00:00
UK companies slip on sustainability reporting,New research from KPMG shows that the UK’s top 100Â  companies have slipped behind a number of European countries for sustainability reporting.,2020-12-07 10:09:09+00:00
Robeco commits to net-zero emissions by 2050,Robeco has announced its intention to achieve net-zero greenhouse gas emissions by 2050 across all its assets under management.,2020-12-04 11:09:11+00:00
Switzerland to adopt new ESG reporting rules,"New ESG reporting obligations will come into force for Swiss compnaies, likely by 2022.",2020-12-02 10:22:35+00:00
Amundi warns SBI on Adani coal project,"Amundi has warned the State Bank of India that it would sell their green bonds if the bank grants a Rs 5,000 loan to Adani’s Carmichael coal mine in Australia.",2020-12-01 10:20:36+00:00
Engie issues EUR 850m of green hybrid bonds,French utility Engie has issued EUR 850 million of green hybrid bonds,2020-12-01 10:08:17+00:00
Diageo announces 10 year sustainability plan,"Diageo has announced 25 goals in its ‘Society 2030: Spirit of Progress’ plan, designed to make a positive impact on the world by 2030.",2020-11-23 10:35:14+00:00
Goldman names top ESG stocks from S&P 500,Goldman Sachs has named 50 companies from the S&P 500 that should benefit from ESG inflows.Â Â,2020-11-19 11:17:24+00:00
UK PM announces plan for green revolution,UK Prime Minister Boris Johnson has announced a 10-point plan to lead a “green industrial revolution”.,2020-11-19 09:40:02+00:00
PCAF launches standards to report emissions,The Partnership for Carbon Accounting Financials (PCAF) has launched the Global GHG Accounting and Reporting Standard for the Financial Industry.,2020-11-19 09:30:40+00:00
Top investors call on companies to use SASB,The Investor Advisory Group of the Sustainability Accounting Standards Board has called on companies to use SASB Standards in disclosures to investors.,2020-11-18 13:05:22+00:00
S&P Indices announce ESG index rebalancings,S&P Dow Jones Indices has announced the results of its annual Dow Jones Sustainability Indices rebalancing and reconstitution.,2020-11-17 09:58:17+00:00
DWS sets up ESG Advisory Board,DWS has set up the ESG Advisory Board to advise on the firm’s ESG strategy.,2020-11-13 08:55:18+00:00
FCA introduces new rules on climate disclosure,The FCA has said that from 1 January 2021 premium listed companies on the London Stock Exchange will have to conform to new climate risk disclosure rules.,2020-11-11 09:38:41+00:00
TD commits to net-zero emissions by 2050,TD Bank Group has announced a commitment to target net-zero greenhouse gas emissions by 2050.,2020-11-10 15:17:22+00:00
Blackstone appoints head of real estate ESG,Blackstone has appointed Eric Duchon as Global Head of Real Estate ESG.,2020-11-09 09:02:49+00:00
Janus Henderson appoints head of ESG,Janus Henderson has appointed Paul LaCoursiere as global head of ESG investments.Â,2020-11-04 11:27:04+00:00
HKSFC proposes climate rules for funds,The Hong Kong Securities and Futures Commission has issued a consultation paper on the disclosure of climate-related risks by fund managers.,2020-11-03 09:42:05+00:00
Neuberger adds ESG expertise from NNIP,Neuberger Berman has added seven equity investment professionals with ESG expertise to its team in the Hague.Â,2020-11-03 09:35:14+00:00
Brunel picks Nordea to run climate mandate,Brunel Pension Partnership has chosen Nordea Asset Management to run its Â£325m climate and environment equity mandate.,2020-10-29 09:56:31+00:00
Cazenove unveils carbon offsetting scheme,Cazenove Capital has appointed Ecologi to offset the carbon footprint of its Charity Responsible Multi-Asset Fund.,2020-10-29 08:23:42+00:00
Barclays raises Â£400m in green bond issue,Barclays has announced that it successfully closed a Â£400m green bond issue on 27 October.,2020-10-28 10:13:51+00:00
Refinitiv & Fortune partner on D&I disclosure,Refinitiv and Fortune are to partner in a new standard for corporate diversity and inclusion disclosure,2020-10-27 09:47:38+00:00
Credit Suisse partners on impact platform,"Credit Suisse and The Conduit Connect have announced a partnership, with Linklaters and Deloitte, on an impact investment platform.",2020-10-27 09:37:46+00:00
Nordea leads action on coal power in Vietnam,"Nordea Asset Management is leading 21 investors in a letter to companies involved in the construction of Vung Ang 2, a coal plant in Vietnam.",2020-10-27 09:28:44+00:00
Polar Capital appoints head of sustainability,Polar Capital has appointed Alexander Macdonald as its Group Head of Sustainability.,2020-10-26 09:46:12+00:00
PwC says 50% of funds to be ESG by 2025,50% of European mutual funds will be ESG by 2025 says PricewaterhouseCooperâs.,2020-10-20 08:46:01+00:00
Anti-corruption top ESG concern for investors,Anti-corruption is the top ESG concern for institutional investors according toÂ RBC Global Asset Management’s latest Responsible Investment Survey.,2020-10-14 13:12:28+00:00
EC delays introduction of level 2 SFDR rules,The European Commission is to delay the implementation of the Sustainable Finance Disclosure Regulation Level 2 rules.,2020-10-09 09:46:45+00:00
Allianz appoints head of sustainable investing,Allianz Global Investors has appointed Matt Christensen as Global Head of Sustainable and Impact Investing.,2020-10-09 09:27:02+00:00
Mirabaud AM adds ESG analyst to equity team,Mirabaud Asset Management has hired a senior ESG analyst for its global equity team.,2020-10-06 11:43:28+00:00
MUFG appoints head of sustainability,MUFG has announced the appointment of Tobi Petrocelli as director of environmental and sustainability management.,2020-10-05 15:22:53+00:00
ILN launches toolkit to decarbonize portfolios,The Investor Leadership Network has released its latest report Climate Change Mitigation and your portfolio: Practical Tools for Investors.,2020-10-02 09:36:41+00:00
Five firms removed from UN PRI,Five investment firms have been removed from the United Nations Principles for Responsible Investment for failing to meet its minimum requirements.,2020-09-29 10:02:45+00:00
Patrizia appoints head of ESG,Swiss asset manager Patrizia has appointed a new head of ESG.Â  Â,2020-09-29 09:54:08+00:00
Firms look to achieve common ESG metrics,120 of the worldâs largest companies have supported efforts at the 2020 annual meeting in DavosÂ to develop a core set of common metrics and disclosures on non-financial factors.,2020-09-24 09:29:49+00:00
Big Four firms release ESG reporting metrics,The Big Four accounting firms have developed a set of metrics for companies to use for ESG reporting.,2020-09-24 08:59:57+00:00
SC says ESG interest growing in Asia,"Asian investors are showing increased interest in ESG investments, says Standard Chartered Private Bank.",2020-09-23 08:11:11+00:00
Citi appoints new head of ESG research,"Citi has appointedÂ Anita McBain as Managing Director, Head of EMEA ESG Research.",2020-09-15 10:20:12+00:00
CA100+ puts pressure on emissions,The Climate Action 100+ group says it has written to the world’s largest carbon emitters saying that more action is needed to reduce emissions.Â,2020-09-14 10:01:01+00:00
UBS recommends ESG to private clients,UBS is to recommend sustainable solutions for its private clients.,2020-09-11 09:44:48+00:00
Citi says prepare for new EU ESG rules,Citi says asset managers should start preparing for the introduction of new EU ESG disclosure rules coming in March.,2020-09-10 09:30:52+00:00
Ikea commits â¬600m to SDG investments,The Ingka Group will invest â¬600m over the next 12 months in companies that have a direct impact towards the Paris Agreement and the UN SDGs.,2020-09-07 09:38:57+00:00
Mark Carney joins Brookfield as head of ESG,Former Bank of England governor Mark Carney has joined Brookfield Asset Management as head of ESG and impact fund investing.,2020-08-27 10:00:36+00:00
Cazenove Capital wins ESG ‘Olympics’,Cazenove Capital has been awarded Â£33.5m after winning the ESG Investing Olympics competition.,2020-08-24 08:39:51+00:00
ANZ issues first bank SDG bond in Australia,ANZ has announced the issue of an AUD1.25 billion Tier 2 capital bond linked to the UN Sustainable Development Goals.,2020-08-21 09:38:01+00:00
CaixaBank offsets CO2 with Amazon project,CaixaBank has offset its CO2 emissions by supporting a project to protect the Amazon forest.,2020-08-19 10:30:58+00:00
Barclays adds to ESG teams,Barclays has expanded its ESG teams in its investment banking division.,2020-08-11 10:26:44+00:00
Alphabet issues $5.75bn of sustainability bonds,"Alphabet has issued $5.75 billion in sustainability bonds, a record sustainability bond offering.",2020-08-10 08:26:22+00:00
HSBC launches ESG solutions unit,HSBC is forming a new ESG solutions unit to provide clients with advice on sustainable investments.Â,2020-07-28 09:20:50+00:00
Deutsche Bank to end activity in coal mining,Deutsche Bank has adopted a new fossil fuels policy to end its global business activities in coal mining by 2025.,2020-07-28 07:30:34+00:00
MS joins carbon accounting partnership,Morgan Stanley has joined the Partnership for Carbon Accounting Financials global Steering Committee focusing on measuring financed emissions.,2020-07-22 08:04:59+00:00
HSBC launches ESG portfolio reporting service,HSBC has launched a reporting service for asset owners and managers.,2020-07-21 08:56:48+00:00
Climate change and investment returns,"Climate change will have a profound impact on investment returns over the next 30 years, though not all markets will be affected equally, say Schroders.",2020-07-21 08:21:33+00:00
US DoL looks to curtail ESG investments,The US Department of Labor has proposed a rule that pensions cannot invest in ESG funds that negatively impact returns.Â,2020-07-17 08:48:40+00:00
Deutsche Bank leads three green bond issues,Deutsche Bank has led three green bond issues in the past week despite a sharp drop in issuance this year.,2020-07-16 09:50:20+00:00
ESG in Asia to grow says Standard Chartered,ESG investing in Asia is set to growth strongly in the coming years according to Standard Chartered.Â,2020-07-14 09:35:52+00:00
Octopus Renewables acquires two UK wind farms,"Octopus Renewables, the specialist clean energy investor arm of Octopus Group, has acquired two UK operational ROC accredited onshore wind farms with a combined capacity of 16.8MW.",2020-07-13 13:16:07+00:00
SEC expresses concern about ESG disclosures,SEC Commissioner Elad Roisman has expressed “serious reservations” about mandating ESG disclosures by public companies.,2020-07-10 11:06:18+00:00
Philip Morris publishes ESG overview,"Philip Morris International has published its first Integrated Report, an overview of the firm’s ESG performance.",2020-07-01 09:28:03+00:00
VolkerFitzpatrick and Green Biofuels to reduce emissions.,VolkerFitzpatrick and Green Biofuels building a future with better local air quality and reduced greenhouse gases.,2020-06-29 13:20:08+00:00
Large increase in TCFD in FTSE 100 reporting,The number of FTSE 100 companies mentioning the TCFD in their reporting has surged over the last year.,2020-06-24 09:05:35+00:00
Data Respons releases ESG report for 2019,Norwegian technology company Data Respons has released its 2019 ESG report.Â,2020-06-18 07:30:38+00:00
UBS appoints head of sustainable banking,UBS has announced the appointment of Armin Peter as Head of Sustainable Banking EMEA.,2020-06-16 11:13:40+00:00
BHP: Climate Risk and ESG Ratings,"We talk to Dr. Fiona Wild, Head of Climate Change and Sustainability at BHP in Melbourne, Australia about the companyâs approach to sustainability and the challenges posed by climate risk.Â",2020-06-08 12:15:28+00:00
Norges Bank cuts fossil fuel firms from fund,Norges Bank has excluded five fossil fuel companies from the Government Pension Fund Global.,2020-05-14 11:00:21+00:00
T. Rowe Price says ESG leads in engagement,T. Rowe Price has reported that ESG disclosure was the top issue in its engagements with companies in 2019.,2020-05-13 08:09:39+00:00
Smurfit Kappa cuts emissions by third,Smurfit Kappa has published its latest sustainability report outlining a 33% drop in CO2 emission since 2005,2020-05-09 07:45:40+00:00
Total commits to net zero emissions by 2050,Oil and gas producer Total has set a net zero emissions target to be reached by 2050.,2020-05-06 10:54:46+00:00
Asia Metals publishes its first sustainability report,AIM-listed Central Asia Metals publishes its first sustainability report.,2020-05-04 12:58:23+00:00
Prada agree sustainability loan with Credit Agricole,Fashion group Prada has agreed a â¬50 million 5-year sustainability loan with Credit Agricole.,2019-11-06 08:44:43+00:00
Microsoft most popular stock for ESG funds,Microsoft is the most popular stock among ESG funds in the US according to a Forbes report.,2019-11-02 13:49:37+00:00
Schroders takes stake in BlueOrchard,"Schroders has acquired a majority stake in BlueOrchard, a leading impact investment manager",2019-11-01 09:51:10+00:00
BP develops plastic recycling technology,BP has developed technology that can recycle PET plastic waste which could mean reduced landfill and incineration.Â,2019-10-29 10:20:15+00:00
BMO issues sustainability bond,BMO Financial Group has launched its first sustainability bond.,2019-10-22 10:46:51+00:00
STOXX: ESG exclusions and US stocks,Stoxx looks at the performance of its USA 500 ESG-X index and assesses how the exclusion of some US stocks has helped it outperform the benchmark USA 500 index.Â,2019-10-15 11:07:46+00:00
PepsiCo issues $1billion green bond,PepsiCo has launched its first green bond worth US$1 billion to fund the firm’s sustainability initiatives.,2019-10-10 09:45:25+00:00
QSE to promote ESG disclosure in Qatar,The Qatar Stock Exchange will promote ESG and sustainability disclosure for Qatar listed companies.,2019-10-07 09:23:33+00:00
"Unilever, M&S and BT top sustainability reporting","Unilever, Marks & Spencer and BT have been ranked highest for sustainability reporting for FTSE100 companies by EcoAct.",2019-10-05 11:59:36+00:00
McDonald’s: a sustainable finance case study,Research from the Rotterdam School of Management shows how to integrate sustainability into investment analysis using McDonald’s as a case study.Â,2019-09-30 17:28:17+00:00
